variable_name,description,category,wave,n_nonmissing,n_missing,dtype
mdact_c_wave3,,Lifestyle & Behavior,Wave 3,9835,16038,Continuous (float)
ltact_c_wave3,,Lifestyle & Behavior,Wave 3,9840,16033,Continuous (float)
memeory_wave3,Memory score component,Cognitive Function,Wave 3,18909,6964,Continuous (float)
executive_wave3,Executive function score component,Cognitive Function,Wave 3,17189,8684,Continuous (float)
total_cognition_wave3,Total cognitive function score,Cognitive Function,Wave 3,16786,9087,Continuous (float)
cesd10_wave3,CESD-10 depression score (range 0-30),Depression,Wave 3,19611,6262,Continuous (float)
hhcperc_wave3,Household consumption per capita,Living Arrangements,Wave 3,14256,11617,Continuous (float)
hchild_wave3,Number of living children,Living Arrangements,Wave 3,21097,4776,Continuous (float)
pension_wave3,Pension receipt status,Insurance & Social Security,Wave 3,17543,8330,Continuous (float)
ins_wave3,Health insurance type,Insurance & Social Security,Wave 3,17117,8756,Continuous (float)
ea001s1_wave3,,Work & Income,Wave 3,20288,5585,Continuous (float)
ea001s2_wave3,,Work & Income,Wave 3,20050,5823,Continuous (float)
ea001s3_wave3,,Work & Income,Wave 3,20240,5633,Continuous (float)
ea001s4_wave3,,Work & Income,Wave 3,20252,5621,Continuous (float)
ea001s5_wave3,,Work & Income,Wave 3,20254,5619,Continuous (float)
ea001s11_wave3,,Work & Income,Wave 3,20051,5822,Continuous (float)
satlife_wave3,,Other,Wave 3,19468,6405,Continuous (float)
adlab_c_wave3,,Functional Status,Wave 3,20195,5678,Continuous (float)
iadl_wave3,IADL summary score,Functional Status,Wave 3,20920,4953,Continuous (float)
fcamt_wave3,,Other,Wave 3,20826,5047,Continuous (float)
tcamt_wave3,,Other,Wave 3,20826,5047,Continuous (float)
income_total_wave3,,Other,Wave 3,7790,18083,Continuous (float)
doctor_wave3,,Other,Wave 3,20874,4999,Continuous (float)
hospital_wave3,,Other,Wave 3,20879,4994,Continuous (float)
fall_down_wave3,,Other,Wave 3,20913,4960,Continuous (float)
hip_wave3,,Other,Wave 3,20919,4954,Continuous (float)
129,,Other,Non-wave,21097,4776,Continuous (float)
city_wave3,,Other,Wave 3,21097,4776,Continuous (float)
age_wave3,Age in years,Demographics,Wave 3,21049,4824,Continuous (float)
edu_wave3,,Other,Wave 3,21050,4823,Continuous (float)
exercise_wave3,,Other,Wave 3,9847,16026,Continuous (float)
totmet_wave3,,Other,Wave 3,9673,16200,Continuous (float)
chronic_wave3,,Other,Wave 3,17512,8361,Continuous (float)
ea001s6_wave3,,Work & Income,Wave 3,20220,5653,Continuous (float)
ea001s7_wave3,,Work & Income,Wave 3,20283,5590,Continuous (float)
ea001s8_wave3,,Work & Income,Wave 3,20274,5599,Continuous (float)
ea001s9_wave3,,Work & Income,Wave 3,20256,5617,Continuous (float)
ea001s10_wave3,,Work & Income,Wave 3,0,25873,Continuous (float)
disability_wave3,,Other,Wave 3,20930,4943,Continuous (float)
drinkev_wave3,,Other,Wave 3,20899,4974,Continuous (float)
bmi_wave3,"Body Mass Index (kg/m², calculated from measured weight/height)",Physical Measures,Wave 3,16170,9703,Continuous (float)
oophos1y_wave3,,Other,Wave 3,20613,5260,Continuous (float)
tothos1y_wave3,,Other,Wave 3,20611,5262,Continuous (float)
oopdoc1m_wave3,,Other,Wave 3,20517,5356,Continuous (float)
totdoc1m_wave3,,Other,Wave 3,20567,5306,Continuous (float)
bloodweight_wave3,Blood sample weight,Physical Measures,Wave 3,13012,12861,Continuous (float)
bl_fasting_wave3,,Other,Wave 3,13418,12455,Continuous (float)
bl_wbc_wave3,,Other,Wave 3,13241,12632,Continuous (float)
bl_mcv_wave3,,Other,Wave 3,13241,12632,Continuous (float)
bl_plt_wave3,,Other,Wave 3,13236,12637,Continuous (float)
bl_bun_wave3,,Other,Wave 3,13353,12520,Continuous (float)
bl_glu_wave3,,Other,Wave 3,13387,12486,Continuous (float)
bl_crea_wave3,,Other,Wave 3,13351,12522,Continuous (float)
bl_cho_wave3,,Other,Wave 3,13353,12520,Continuous (float)
bl_tg_wave3,,Other,Wave 3,13353,12520,Continuous (float)
bl_hdl_wave3,"HDL cholesterol (mg/dL, blood assay)",Blood Biomarkers,Wave 3,13353,12520,Continuous (float)
bl_ldl_wave3,"LDL cholesterol (mg/dL, blood assay)",Blood Biomarkers,Wave 3,13352,12521,Continuous (float)
bl_crp_wave3,"C-reactive protein (mg/L, blood assay)",Blood Biomarkers,Wave 3,13351,12522,Continuous (float)
bl_hbalc_wave3,,Other,Wave 3,13408,12465,Continuous (float)
bl_ua_wave3,,Other,Wave 3,13387,12486,Continuous (float)
bl_hct_wave3,,Other,Wave 3,13240,12633,Continuous (float)
bl_hgb_wave3,,Other,Wave 3,13241,12632,Continuous (float)
bl_cysc_wave3,,Other,Wave 3,13347,12526,Continuous (float)
bl_top_coding_tg_wave3,,Other,Wave 3,13419,12454,Continuous (float)
wspeed1_wave3,,Other,Wave 3,8070,17803,Continuous (float)
wspeed2_wave3,,Other,Wave 3,8070,17803,Continuous (float)
wspeed_wave3,,Other,Wave 3,8064,17809,Continuous (float)
systo1_wave3,,Other,Wave 3,16227,9646,Continuous (float)
systo2_wave3,,Other,Wave 3,16189,9684,Continuous (float)
systo3_wave3,,Other,Wave 3,16146,9727,Continuous (float)
systo_wave3,,Other,Wave 3,16188,9685,Continuous (float)
diasto1_wave3,,Other,Wave 3,16224,9649,Continuous (float)
diasto2_wave3,,Other,Wave 3,16186,9687,Continuous (float)
diasto3_wave3,,Other,Wave 3,16145,9728,Continuous (float)
diasto_wave3,,Other,Wave 3,16185,9688,Continuous (float)
pulse1_wave3,,Other,Wave 3,16222,9651,Continuous (float)
pulse2_wave3,,Other,Wave 3,16180,9693,Continuous (float)
pulse3_wave3,,Other,Wave 3,16143,9730,Continuous (float)
pulse_wave3,"Pulse rate (bpm, mean of 3 measurements)",Physical Measures,Wave 3,16179,9694,Continuous (float)
lgrip1_wave3,"Left hand grip strength (kg, trial 1)",Physical Measures,Wave 3,16074,9799,Continuous (float)
lgrip2_wave3,"Left hand grip strength (kg, trial 2)",Physical Measures,Wave 3,16056,9817,Continuous (float)
lgrip_wave3,,Other,Wave 3,16085,9788,Continuous (float)
rgrip1_wave3,"Right hand grip strength (kg, trial 1)",Physical Measures,Wave 3,16069,9804,Continuous (float)
rgrip2_wave3,"Right hand grip strength (kg, trial 2)",Physical Measures,Wave 3,16028,9845,Continuous (float)
rgrip_wave3,,Other,Wave 3,16083,9790,Continuous (float)
mheight_wave3,Measured height (cm),Physical Measures,Wave 3,16220,9653,Continuous (float)
mweight_wave3,Measured weight (kg),Physical Measures,Wave 3,16234,9639,Continuous (float)
mwaist_wave3,Measured waist circumference (cm),Physical Measures,Wave 3,16249,9624,Continuous (float)
tyg_wave3,Triglyceride-Glucose Index: ln[TG×FPG/2],Blood Biomarkers,Wave 3,13352,12521,Continuous (float)
tyg_bmi_wave3,TyG-BMI product,Blood Biomarkers,Wave 3,13098,12775,Continuous (float)
water_wave3,,Other,Wave 3,20911,4962,Continuous (float)
puff1_wave3,,Other,Wave 3,16028,9845,Continuous (float)
puff2_wave3,,Other,Wave 3,15984,9889,Continuous (float)
puff3_wave3,,Other,Wave 3,15993,9880,Continuous (float)
puff_wave3,,Other,Wave 3,16029,9844,Continuous (float)
glass_wave3,,Other,Wave 3,20933,4940,Continuous (float)
eyesight_distance_wave3,,Other,Wave 3,19699,6174,Continuous (float)
eyesight_close_wave3,,Other,Wave 3,19682,6191,Continuous (float)
hear_aid_wave3,,Other,Wave 3,20766,5107,Continuous (float)
hear_wave3,,Other,Wave 3,19682,6191,Continuous (float)
teeth_wave3,,Other,Wave 3,20929,4944,Continuous (float)
hspnite_wave3,,Other,Wave 3,20787,5086,Continuous (float)
hibpe_1_wave3,,Disease History,Wave 3,17873,8000,Continuous (float)
diabe_1_wave3,,Disease History,Wave 3,17171,8702,Continuous (float)
gender_wave4,"Sex (0=male, 1=female)",Demographics,Wave 4,17655,8218,Continuous (float)
nation_wave4,"Ethnicity (1=Han, 0=other)",Demographics,Wave 4,19816,6057,Continuous (float)
hibpe_wave4,"Hypertension (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19780,6093,Continuous (float)
dyslipe_wave4,"Dyslipidemia (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19779,6094,Continuous (float)
diabe_wave4,"Diabetes (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19792,6081,Continuous (float)
cancre_wave4,"Cancer (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19795,6078,Continuous (float)
lunge_wave4,"Chronic lung disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19791,6082,Continuous (float)
livere_wave4,"Liver disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19792,6081,Continuous (float)
hearte_wave4,"Heart disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19783,6090,Continuous (float)
stroke_wave4,"Stroke (1=self-reported diagnosis, 0=no)",Disease History,Wave 4,19793,6080,Continuous (float)
